Matrix A:
2	11	43	43	31	47	
27	28	5	36	48	7	
6	36	4	16	31	2	
4	30	6	30	11	11	
1	28	40	24	25	32	
21	39	28	31	41	19	

Matrix B:
23	43	24	4	6	42	
31	26	43	7	43	22	
37	33	8	8	27	26	
47	35	30	33	8	18	
47	2	37	46	11	31	
48	5	43	32	14	47	

d_a[68] = 0.000000, d_b[68] = 0.000000, sum[68] = 0.000000 
d_a[8] = 43.000000, d_b[8] = 5.000000, sum[8] = 48.000000 
d_a[9] = 7.000000, d_b[9] = 36.000000, sum[9] = 43.000000 
d_a[10] = 43.000000, d_b[10] = 48.000000, sum[10] = 91.000000 
d_a[11] = 22.000000, d_b[11] = 7.000000, sum[11] = 29.000000 
d_a[12] = 37.000000, d_b[12] = 6.000000, sum[12] = 43.000000 
d_a[13] = 33.000000, d_b[13] = 36.000000, sum[13] = 69.000000 
d_a[14] = 8.000000, d_b[14] = 4.000000, sum[14] = 12.000000 
d_a[15] = 8.000000, d_b[15] = 16.000000, sum[15] = 24.000000 
d_a[16] = 27.000000, d_b[16] = 31.000000, sum[16] = 58.000000 
d_a[17] = 26.000000, d_b[17] = 2.000000, sum[17] = 28.000000 
d_a[18] = 47.000000, d_b[18] = 4.000000, sum[18] = 51.000000 
d_a[19] = 35.000000, d_b[19] = 30.000000, sum[19] = 65.000000 
d_a[20] = 30.000000, d_b[20] = 6.000000, sum[20] = 36.000000 
d_a[21] = 33.000000, d_b[21] = 30.000000, sum[21] = 63.000000 
d_a[22] = 8.000000, d_b[22] = 11.000000, sum[22] = 19.000000 
d_a[23] = 18.000000, d_b[23] = 11.000000, sum[23] = 29.000000 
d_a[24] = 47.000000, d_b[24] = 1.000000, sum[24] = 48.000000 
d_a[25] = 2.000000, d_b[25] = 28.000000, sum[25] = 30.000000 
d_a[26] = 37.000000, d_b[26] = 40.000000, sum[26] = 77.000000 
d_a[27] = 46.000000, d_b[27] = 24.000000, sum[27] = 70.000000 
d_a[28] = 11.000000, d_b[28] = 25.000000, sum[28] = 36.000000 
d_a[29] = 31.000000, d_b[29] = 32.000000, sum[29] = 63.000000 
d_a[30] = 48.000000, d_b[30] = 21.000000, sum[30] = 69.000000 
d_a[31] = 5.000000, d_b[31] = 39.000000, sum[31] = 44.000000 
d_a[36] = 0.000000, d_b[36] = 0.000000, sum[36] = 0.000000 
d_a[37] = 0.000000, d_b[37] = 0.000000, sum[37] = 0.000000 
d_a[38] = 0.000000, d_b[38] = 0.000000, sum[38] = 0.000000 
d_a[39] = 0.000000, d_b[39] = 0.000000, sum[39] = 0.000000 
d_a[40] = 0.000000, d_b[40] = 0.000000, sum[40] = 0.000000 
d_a[41] = 0.000000, d_b[41] = 0.000000, sum[41] = 0.000000 
d_a[42] = 0.000000, d_b[42] = 0.000000, sum[42] = 0.000000 
d_a[43] = 0.000000, d_b[43] = 0.000000, sum[43] = 0.000000 
d_a[44] = 0.000000, d_b[44] = 0.000000, sum[44] = 0.000000 
d_a[45] = 0.000000, d_b[45] = 0.000000, sum[45] = 0.000000 
d_a[46] = 0.000000, d_b[46] = 0.000000, sum[46] = 0.000000 
d_a[47] = 0.000000, d_b[47] = 0.000000, sum[47] = 0.000000 
d_a[48] = 0.000000, d_b[48] = 0.000000, sum[48] = 0.000000 
d_a[49] = 0.000000, d_b[49] = 0.000000, sum[49] = 0.000000 
d_a[50] = 0.000000, d_b[50] = 0.000000, sum[50] = 0.000000 
d_a[51] = 0.000000, d_b[51] = 0.000000, sum[51] = 0.000000 
d_a[52] = 0.000000, d_b[52] = 0.000000, sum[52] = 0.000000 
d_a[53] = 0.000000, d_b[53] = 0.000000, sum[53] = 0.000000 
d_a[54] = 0.000000, d_b[54] = 0.000000, sum[54] = 0.000000 
d_a[55] = 0.000000, d_b[55] = 0.000000, sum[55] = 0.000000 
d_a[56] = 0.000000, d_b[56] = 0.000000, sum[56] = 0.000000 
d_a[57] = 0.000000, d_b[57] = 0.000000, sum[57] = 0.000000 
d_a[58] = 0.000000, d_b[58] = 0.000000, sum[58] = 0.000000 
d_a[59] = 0.000000, d_b[59] = 0.000000, sum[59] = 0.000000 
d_a[60] = 0.000000, d_b[60] = 0.000000, sum[60] = 0.000000 
d_a[61] = 0.000000, d_b[61] = 0.000000, sum[61] = 0.000000 
d_a[62] = 0.000000, d_b[62] = 0.000000, sum[62] = 0.000000 
d_a[63] = 0.000000, d_b[63] = 0.000000, sum[63] = 0.000000 
d_a[64] = 0.000000, d_b[64] = 0.000000, sum[64] = 0.000000 
d_a[65] = 0.000000, d_b[65] = 0.000000, sum[65] = 0.000000 
d_a[66] = 0.000000, d_b[66] = 0.000000, sum[66] = 0.000000 
d_a[67] = 0.000000, d_b[67] = 0.000000, sum[67] = 0.000000 
d_a[72] = 0.000000, d_b[72] = 0.000000, sum[72] = 0.000000 
d_a[73] = 0.000000, d_b[73] = 0.000000, sum[73] = 0.000000 
d_a[74] = 0.000000, d_b[74] = 0.000000, sum[74] = 0.000000 
d_a[75] = 0.000000, d_b[75] = 0.000000, sum[75] = 0.000000 
d_a[76] = 0.000000, d_b[76] = 0.000000, sum[76] = 0.000000 
d_a[77] = 0.000000, d_b[77] = 0.000000, sum[77] = 0.000000 
d_a[78] = 0.000000, d_b[78] = 0.000000, sum[78] = 0.000000 
d_a[79] = 0.000000, d_b[79] = 0.000000, sum[79] = 0.000000 
d_a[80] = 0.000000, d_b[80] = 0.000000, sum[80] = 0.000000 
d_a[81] = 0.000000, d_b[81] = 0.000000, sum[81] = 0.000000 
d_a[82] = 0.000000, d_b[82] = 0.000000, sum[82] = 0.000000 
d_a[83] = 0.000000, d_b[83] = 0.000000, sum[83] = 0.000000 
d_a[84] = 0.000000, d_b[84] = 0.000000, sum[84] = 0.000000 
d_a[85] = 0.000000, d_b[85] = 0.000000, sum[85] = 0.000000 
d_a[86] = 0.000000, d_b[86] = 0.000000, sum[86] = 0.000000 
d_a[87] = 0.000000, d_b[87] = 0.000000, sum[87] = 0.000000 
d_a[88] = 0.000000, d_b[88] = 0.000000, sum[88] = 0.000000 
d_a[89] = 0.000000, d_b[89] = 0.000000, sum[89] = 0.000000 
d_a[90] = 0.000000, d_b[90] = 0.000000, sum[90] = 0.000000 
d_a[91] = 0.000000, d_b[91] = 0.000000, sum[91] = 0.000000 
d_a[92] = 0.000000, d_b[92] = 0.000000, sum[92] = 0.000000 
d_a[93] = 0.000000, d_b[93] = 0.000000, sum[93] = 0.000000 
d_a[94] = 0.000000, d_b[94] = 0.000000, sum[94] = 0.000000 
d_a[95] = 0.000000, d_b[95] = 0.000000, sum[95] = 0.000000 
d_a[96] = 0.000000, d_b[96] = 0.000000, sum[96] = 0.000000 
d_a[97] = 0.000000, d_b[97] = 0.000000, sum[97] = 0.000000 
d_a[98] = 0.000000, d_b[98] = 0.000000, sum[98] = 0.000000 
d_a[99] = 0.000000, d_b[99] = 0.000000, sum[99] = 0.000000 
d_a[100] = 0.000000, d_b[100] = 0.000000, sum[100] = 0.000000 
d_a[101] = 0.000000, d_b[101] = 0.000000, sum[101] = 0.000000 
d_a[102] = 0.000000, d_b[102] = 0.000000, sum[102] = 0.000000 
d_a[103] = 0.000000, d_b[103] = 0.000000, sum[103] = 0.000000 
d_a[78] = 0.000000, d_b[78] = 0.000000, sum[78] = 0.000000 
d_a[79] = 0.000000, d_b[79] = 0.000000, sum[79] = 0.000000 
d_a[80] = 0.000000, d_b[80] = 0.000000, sum[80] = 0.000000 
d_a[81] = 0.000000, d_b[81] = 0.000000, sum[81] = 0.000000 
d_a[82] = 0.000000, d_b[82] = 0.000000, sum[82] = 0.000000 
d_a[83] = 0.000000, d_b[83] = 0.000000, sum[83] = 0.000000 
d_a[84] = 0.000000, d_b[84] = 0.000000, sum[84] = 0.000000 
d_a[85] = 0.000000, d_b[85] = 0.000000, sum[85] = 0.000000 
d_a[86] = 0.000000, d_b[86] = 0.000000, sum[86] = 0.000000 
d_a[87] = 0.000000, d_b[87] = 0.000000, sum[87] = 0.000000 
d_a[88] = 0.000000, d_b[88] = 0.000000, sum[88] = 0.000000 
d_a[89] = 0.000000, d_b[89] = 0.000000, sum[89] = 0.000000 
d_a[90] = 0.000000, d_b[90] = 0.000000, sum[90] = 0.000000 
d_a[91] = 0.000000, d_b[91] = 0.000000, sum[91] = 0.000000 
d_a[92] = 0.000000, d_b[92] = 0.000000, sum[92] = 0.000000 
d_a[93] = 0.000000, d_b[93] = 0.000000, sum[93] = 0.000000 
d_a[94] = 0.000000, d_b[94] = 0.000000, sum[94] = 0.000000 
d_a[95] = 0.000000, d_b[95] = 0.000000, sum[95] = 0.000000 
d_a[96] = 0.000000, d_b[96] = 0.000000, sum[96] = 0.000000 
d_a[97] = 0.000000, d_b[97] = 0.000000, sum[97] = 0.000000 
d_a[98] = 0.000000, d_b[98] = 0.000000, sum[98] = 0.000000 
d_a[99] = 0.000000, d_b[99] = 0.000000, sum[99] = 0.000000 
d_a[100] = 0.000000, d_b[100] = 0.000000, sum[100] = 0.000000 
d_a[101] = 0.000000, d_b[101] = 0.000000, sum[101] = 0.000000 
d_a[102] = 0.000000, d_b[102] = 0.000000, sum[102] = 0.000000 
d_a[103] = 0.000000, d_b[103] = 0.000000, sum[103] = 0.000000 
d_a[104] = 0.000000, d_b[104] = 0.000000, sum[104] = 0.000000 
d_a[105] = 0.000000, d_b[105] = 0.000000, sum[105] = 0.000000 
d_a[106] = 0.000000, d_b[106] = 0.000000, sum[106] = 0.000000 
d_a[107] = 0.000000, d_b[107] = 0.000000, sum[107] = 0.000000 
d_a[108] = 0.000000, d_b[108] = 0.000000, sum[108] = 0.000000 
d_a[109] = 0.000000, d_b[109] = 0.000000, sum[109] = 0.000000 
d_a[84] = 0.000000, d_b[84] = 0.000000, sum[84] = 0.000000 
d_a[85] = 0.000000, d_b[85] = 0.000000, sum[85] = 0.000000 
d_a[86] = 0.000000, d_b[86] = 0.000000, sum[86] = 0.000000 
d_a[87] = 0.000000, d_b[87] = 0.000000, sum[87] = 0.000000 
d_a[88] = 0.000000, d_b[88] = 0.000000, sum[88] = 0.000000 
d_a[89] = 0.000000, d_b[89] = 0.000000, sum[89] = 0.000000 
d_a[90] = 0.000000, d_b[90] = 0.000000, sum[90] = 0.000000 
d_a[91] = 0.000000, d_b[91] = 0.000000, sum[91] = 0.000000 
d_a[92] = 0.000000, d_b[92] = 0.000000, sum[92] = 0.000000 
d_a[93] = 0.000000, d_b[93] = 0.000000, sum[93] = 0.000000 
d_a[94] = 0.000000, d_b[94] = 0.000000, sum[94] = 0.000000 
d_a[95] = 0.000000, d_b[95] = 0.000000, sum[95] = 0.000000 
d_a[96] = 0.000000, d_b[96] = 0.000000, sum[96] = 0.000000 
d_a[97] = 0.000000, d_b[97] = 0.000000, sum[97] = 0.000000 
d_a[98] = 0.000000, d_b[98] = 0.000000, sum[98] = 0.000000 
d_a[99] = 0.000000, d_b[99] = 0.000000, sum[99] = 0.000000 
d_a[100] = 0.000000, d_b[100] = 0.000000, sum[100] = 0.000000 
d_a[101] = 0.000000, d_b[101] = 0.000000, sum[101] = 0.000000 
d_a[102] = 0.000000, d_b[102] = 0.000000, sum[102] = 0.000000 
d_a[103] = 0.000000, d_b[103] = 0.000000, sum[103] = 0.000000 
d_a[104] = 0.000000, d_b[104] = 0.000000, sum[104] = 0.000000 
d_a[105] = 0.000000, d_b[105] = 0.000000, sum[105] = 0.000000 
d_a[106] = 0.000000, d_b[106] = 0.000000, sum[106] = 0.000000 
d_a[107] = 0.000000, d_b[107] = 0.000000, sum[107] = 0.000000 
d_a[108] = 0.000000, d_b[108] = 0.000000, sum[108] = 0.000000 
d_a[109] = 0.000000, d_b[109] = 0.000000, sum[109] = 0.000000 
d_a[110] = 0.000000, d_b[110] = 0.000000, sum[110] = 0.000000 
d_a[111] = 0.000000, d_b[111] = 0.000000, sum[111] = 0.000000 
d_a[112] = 0.000000, d_b[112] = 0.000000, sum[112] = 0.000000 
d_a[113] = 0.000000, d_b[113] = 0.000000, sum[113] = 0.000000 
d_a[114] = 0.000000, d_b[114] = 0.000000, sum[114] = 0.000000 
d_a[115] = 0.000000, d_b[115] = 0.000000, sum[115] = 0.000000 
d_a[12] = 37.000000, d_b[12] = 6.000000, sum[12] = 0.000000 
d_a[13] = 33.000000, d_b[13] = 36.000000, sum[13] = 0.000000 
d_a[14] = 8.000000, d_b[14] = 4.000000, sum[14] = 0.000000 
d_a[15] = 8.000000, d_b[15] = 16.000000, sum[15] = 0.000000 
d_a[16] = 27.000000, d_b[16] = 31.000000, sum[16] = 0.000000 
d_a[17] = 26.000000, d_b[17] = 2.000000, sum[17] = 0.000000 
d_a[18] = 47.000000, d_b[18] = 4.000000, sum[18] = 0.000000 
d_a[19] = 35.000000, d_b[19] = 30.000000, sum[19] = 0.000000 
d_a[20] = 30.000000, d_b[20] = 6.000000, sum[20] = 0.000000 
d_a[21] = 33.000000, d_b[21] = 30.000000, sum[21] = 0.000000 
d_a[22] = 8.000000, d_b[22] = 11.000000, sum[22] = 0.000000 
d_a[23] = 18.000000, d_b[23] = 11.000000, sum[23] = 0.000000 
d_a[24] = 47.000000, d_b[24] = 1.000000, sum[24] = 0.000000 
d_a[25] = 2.000000, d_b[25] = 28.000000, sum[25] = 0.000000 
d_a[26] = 37.000000, d_b[26] = 40.000000, sum[26] = 0.000000 
d_a[27] = 46.000000, d_b[27] = 24.000000, sum[27] = 0.000000 
d_a[28] = 11.000000, d_b[28] = 25.000000, sum[28] = 0.000000 
d_a[29] = 31.000000, d_b[29] = 32.000000, sum[29] = 0.000000 
d_a[30] = 48.000000, d_b[30] = 21.000000, sum[30] = 0.000000 
d_a[31] = 5.000000, d_b[31] = 39.000000, sum[31] = 0.000000 
d_a[32] = 43.000000, d_b[32] = 28.000000, sum[32] = 0.000000 
d_a[33] = 32.000000, d_b[33] = 31.000000, sum[33] = 0.000000 
d_a[34] = 14.000000, d_b[34] = 41.000000, sum[34] = 0.000000 
d_a[35] = 47.000000, d_b[35] = 19.000000, sum[35] = 0.000000 
d_a[36] = 0.000000, d_b[36] = 0.000000, sum[36] = 0.000000 
d_a[37] = 0.000000, d_b[37] = 0.000000, sum[37] = 0.000000 
d_a[38] = 0.000000, d_b[38] = 0.000000, sum[38] = 0.000000 
d_a[39] = 0.000000, d_b[39] = 0.000000, sum[39] = 0.000000 
d_a[40] = 0.000000, d_b[40] = 0.000000, sum[40] = 0.000000 
d_a[41] = 0.000000, d_b[41] = 0.000000, sum[41] = 0.000000 
d_a[42] = 0.000000, d_b[42] = 0.000000, sum[42] = 0.000000 
d_a[43] = 0.000000, d_b[43] = 0.000000, sum[43] = 0.000000 
d_a[48] = 0.000000, d_b[48] = 0.000000, sum[48] = 0.000000 
d_a[49] = 0.000000, d_b[49] = 0.000000, sum[49] = 0.000000 
d_a[50] = 0.000000, d_b[50] = 0.000000, sum[50] = 0.000000 
d_a[51] = 0.000000, d_b[51] = 0.000000, sum[51] = 0.000000 
d_a[52] = 0.000000, d_b[52] = 0.000000, sum[52] = 0.000000 
d_a[53] = 0.000000, d_b[53] = 0.000000, sum[53] = 0.000000 
d_a[54] = 0.000000, d_b[54] = 0.000000, sum[54] = 0.000000 
d_a[55] = 0.000000, d_b[55] = 0.000000, sum[55] = 0.000000 
d_a[56] = 0.000000, d_b[56] = 0.000000, sum[56] = 0.000000 
d_a[57] = 0.000000, d_b[57] = 0.000000, sum[57] = 0.000000 
d_a[58] = 0.000000, d_b[58] = 0.000000, sum[58] = 0.000000 
d_a[59] = 0.000000, d_b[59] = 0.000000, sum[59] = 0.000000 
d_a[60] = 0.000000, d_b[60] = 0.000000, sum[60] = 0.000000 
d_a[61] = 0.000000, d_b[61] = 0.000000, sum[61] = 0.000000 
d_a[62] = 0.000000, d_b[62] = 0.000000, sum[62] = 0.000000 
d_a[63] = 0.000000, d_b[63] = 0.000000, sum[63] = 0.000000 
d_a[64] = 0.000000, d_b[64] = 0.000000, sum[64] = 0.000000 
d_a[65] = 0.000000, d_b[65] = 0.000000, sum[65] = 0.000000 
d_a[66] = 0.000000, d_b[66] = 0.000000, sum[66] = 0.000000 
d_a[67] = 0.000000, d_b[67] = 0.000000, sum[67] = 0.000000 
d_a[68] = 0.000000, d_b[68] = 0.000000, sum[68] = 0.000000 
d_a[69] = 0.000000, d_b[69] = 0.000000, sum[69] = 0.000000 
d_a[70] = 0.000000, d_b[70] = 0.000000, sum[70] = 0.000000 
d_a[71] = 0.000000, d_b[71] = 0.000000, sum[71] = 0.000000 
d_a[72] = 0.000000, d_b[72] = 0.000000, sum[72] = 0.000000 
d_a[73] = 0.000000, d_b[73] = 0.000000, sum[73] = 0.000000 
d_a[74] = 0.000000, d_b[74] = 0.000000, sum[74] = 0.000000 
d_a[75] = 0.000000, d_b[75] = 0.000000, sum[75] = 0.000000 
d_a[76] = 0.000000, d_b[76] = 0.000000, sum[76] = 0.000000 
d_a[77] = 0.000000, d_b[77] = 0.000000, sum[77] = 0.000000 
d_a[78] = 0.000000, d_b[78] = 0.000000, sum[78] = 0.000000 
d_a[79] = 0.000000, d_b[79] = 0.000000, sum[79] = 0.000000 
d_a[42] = 0.000000, d_b[42] = 0.000000, sum[42] = 0.000000 
d_a[43] = 0.000000, d_b[43] = 0.000000, sum[43] = 0.000000 
d_a[44] = 0.000000, d_b[44] = 0.000000, sum[44] = 0.000000 
d_a[45] = 0.000000, d_b[45] = 0.000000, sum[45] = 0.000000 
d_a[46] = 0.000000, d_b[46] = 0.000000, sum[46] = 0.000000 
d_a[47] = 0.000000, d_b[47] = 0.000000, sum[47] = 0.000000 
d_a[48] = 0.000000, d_b[48] = 0.000000, sum[48] = 0.000000 
d_a[49] = 0.000000, d_b[49] = 0.000000, sum[49] = 0.000000 
d_a[50] = 0.000000, d_b[50] = 0.000000, sum[50] = 0.000000 
d_a[51] = 0.000000, d_b[51] = 0.000000, sum[51] = 0.000000 
d_a[52] = 0.000000, d_b[52] = 0.000000, sum[52] = 0.000000 
d_a[53] = 0.000000, d_b[53] = 0.000000, sum[53] = 0.000000 
d_a[54] = 0.000000, d_b[54] = 0.000000, sum[54] = 0.000000 
d_a[55] = 0.000000, d_b[55] = 0.000000, sum[55] = 0.000000 
d_a[56] = 0.000000, d_b[56] = 0.000000, sum[56] = 0.000000 
d_a[57] = 0.000000, d_b[57] = 0.000000, sum[57] = 0.000000 
d_a[58] = 0.000000, d_b[58] = 0.000000, sum[58] = 0.000000 
d_a[59] = 0.000000, d_b[59] = 0.000000, sum[59] = 0.000000 
d_a[60] = 0.000000, d_b[60] = 0.000000, sum[60] = 0.000000 
d_a[61] = 0.000000, d_b[61] = 0.000000, sum[61] = 0.000000 
d_a[62] = 0.000000, d_b[62] = 0.000000, sum[62] = 0.000000 
d_a[63] = 0.000000, d_b[63] = 0.000000, sum[63] = 0.000000 
d_a[64] = 0.000000, d_b[64] = 0.000000, sum[64] = 0.000000 
d_a[65] = 0.000000, d_b[65] = 0.000000, sum[65] = 0.000000 
d_a[66] = 0.000000, d_b[66] = 0.000000, sum[66] = 0.000000 
d_a[67] = 0.000000, d_b[67] = 0.000000, sum[67] = 0.000000 
d_a[68] = 0.000000, d_b[68] = 0.000000, sum[68] = 0.000000 
d_a[69] = 0.000000, d_b[69] = 0.000000, sum[69] = 0.000000 
d_a[70] = 0.000000, d_b[70] = 0.000000, sum[70] = 0.000000 
d_a[71] = 0.000000, d_b[71] = 0.000000, sum[71] = 0.000000 
d_a[72] = 0.000000, d_b[72] = 0.000000, sum[72] = 0.000000 
d_a[73] = 0.000000, d_b[73] = 0.000000, sum[73] = 0.000000 
d_a[6] = 31.000000, d_b[6] = 27.000000, sum[6] = 0.000000 
d_a[7] = 26.000000, d_b[7] = 28.000000, sum[7] = 0.000000 
d_a[8] = 43.000000, d_b[8] = 5.000000, sum[8] = 0.000000 
d_a[9] = 7.000000, d_b[9] = 36.000000, sum[9] = 0.000000 
d_a[10] = 43.000000, d_b[10] = 48.000000, sum[10] = 0.000000 
d_a[11] = 22.000000, d_b[11] = 7.000000, sum[11] = 0.000000 
d_a[12] = 37.000000, d_b[12] = 6.000000, sum[12] = 0.000000 
d_a[13] = 33.000000, d_b[13] = 36.000000, sum[13] = 0.000000 
d_a[14] = 8.000000, d_b[14] = 4.000000, sum[14] = 0.000000 
d_a[15] = 8.000000, d_b[15] = 16.000000, sum[15] = 0.000000 
d_a[16] = 27.000000, d_b[16] = 31.000000, sum[16] = 0.000000 
d_a[17] = 26.000000, d_b[17] = 2.000000, sum[17] = 0.000000 
d_a[18] = 47.000000, d_b[18] = 4.000000, sum[18] = 0.000000 
d_a[19] = 35.000000, d_b[19] = 30.000000, sum[19] = 0.000000 
d_a[20] = 30.000000, d_b[20] = 6.000000, sum[20] = 0.000000 
d_a[21] = 33.000000, d_b[21] = 30.000000, sum[21] = 0.000000 
d_a[22] = 8.000000, d_b[22] = 11.000000, sum[22] = 0.000000 
d_a[23] = 18.000000, d_b[23] = 11.000000, sum[23] = 0.000000 
d_a[24] = 47.000000, d_b[24] = 1.000000, sum[24] = 0.000000 
d_a[25] = 2.000000, d_b[25] = 28.000000, sum[25] = 0.000000 
d_a[26] = 37.000000, d_b[26] = 40.000000, sum[26] = 0.000000 
d_a[27] = 46.000000, d_b[27] = 24.000000, sum[27] = 0.000000 
d_a[28] = 11.000000, d_b[28] = 25.000000, sum[28] = 0.000000 
d_a[29] = 31.000000, d_b[29] = 32.000000, sum[29] = 0.000000 
d_a[30] = 48.000000, d_b[30] = 21.000000, sum[30] = 0.000000 
d_a[31] = 5.000000, d_b[31] = 39.000000, sum[31] = 0.000000 
d_a[32] = 43.000000, d_b[32] = 28.000000, sum[32] = 0.000000 
d_a[33] = 32.000000, d_b[33] = 31.000000, sum[33] = 0.000000 
d_a[34] = 14.000000, d_b[34] = 41.000000, sum[34] = 0.000000 
d_a[35] = 47.000000, d_b[35] = 19.000000, sum[35] = 0.000000 
d_a[36] = 0.000000, d_b[36] = 0.000000, sum[36] = 0.000000 
d_a[37] = 0.000000, d_b[37] = 0.000000, sum[37] = 0.000000 
A + B: 
25	54	67	47	37	89	
58	54	48	43	91	29	
43	69	12	24	58	28	
51	65	36	63	19	29	
48	30	77	70	36	63	
69	44	71	63	55	66	
